abv,name,style,brewery_id,ounces
0.052,Brooklyn Lager (12 oz.),American Amber / Red Lager,437,12
0.08,Tour de Nez Belgian IPA (Current),Belgian IPA,530,16
,Roler Bock (Current),Maibock / Helles Bock,530,16
0.073,Black Adder IBA (Current),American Black Ale,530,16
0.099,Very Noddy Lager (Current),Schwarzbier,530,16
0.062,Tule Duck Red Ale (Current),American Amber / Red Ale,530,16
0.058,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,530,16
0.052,Black Noddy Lager (Current),Schwarzbier,530,16
0.053,Cleveland Beer Week 2013,Munich Helles Lager,357,16
0.045,Painted Turtle,American Pale Ale (APA),56,12
0.06,1836,American Blonde Ale,214,12
0.06,Summer's Wit,Witbier,214,12
0.09,More Cowbell,American Double / Imperial IPA,214,16
0.065,Wrath of Pele,American Brown Ale,24,16
0.068,Black Beer'd,American Black Ale,24,16
0.078,Mr. Tea,Fruit / Vegetable Beer,24,24
0.055,Pale Alement,American Pale Ale (APA),24,12
0.099,Hopkick Dropkick,American Double / Imperial IPA,24,12
0.06,Kreamed Corn,Cream Ale,24,12
0.065,Coconoats,American Pale Wheat Ale,24,16
0.068,Joey Wheat,American Pale Wheat Ale,24,16
0.072,3:33 Black IPA,American IPA,24,16
0.068,MCA,American IPA,24,16
0.055,Pale Alement,American Pale Ale (APA),24,16
0.05,Couch Select Lager,American Pale Lager,197,12
0.056,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),517,12
0.049,Heinnieweisse Weissebier,Hefeweizen,556,12
0.068,Snapperhead IPA,American IPA,556,12
0.049,Moo Thunder Stout,Milk / Sweet Stout,556,12
0.043,Porkslap Pale Ale,American Pale Ale (APA),556,12
0.093,Blackbeard,American Double / Imperial Stout,5,12
0.062,Rye Knot,American Brown Ale,5,12
0.06,Dead Arm,American Pale Ale (APA),5,12
0.048,32°/50° Kölsch ,Kölsch,5,16
0.077,HopArt,American IPA,5,16
0.097,Boy King,American Double / Imperial IPA,5,16
0.052,Gran Sport,American Porter,182,16
0.053,Horny Toad Cerveza,American Blonde Ale,182,16
0.063,Native Amber,American Amber / Red Ale,182,16
0.068,F5 IPA,American IPA,182,16
0.063,Native Amber (2013),American Amber / Red Ale,182,16
0.053,Horny Toad Cerveza (2013),American Blonde Ale,182,16
0.068,Hopportunity Knocks IPA,American IPA,155,12
0.06,Pilot Rock Porter,American Porter,155,12
0.056,Caldera Pale Ale,American Pale Ale (APA),155,12
0.039,Lawnmower Lager,American Adjunct Lager,155,12
0.054,Ashland Amber Ale (2009),American Amber / Red Ale,155,12
0.061,Caldera IPA (2009),American IPA,155,12
0.061,Caldera IPA (2007),American IPA,155,12
0.056,Caldera Pale Ale (2010),American Pale Ale (APA),155,12
0.056,Caldera Pale Ale (2009),American Pale Ale (APA),155,12
